93	Afghanistan	0.1731
9375	Afghanistan Cellular-AT	0.1848
9370	Afghanistan Cellular-AWCC	0.1773
9377	Afghanistan Cellular-Areeba	0.1949
9378	Afghanistan Cellular-Etisalat	0.1688
937	Afghanistan Cellular-Others	0.1917
9372	Afghanistan Cellular-Roshan	0.1864
9379	Afghanistan Cellular-Roshan	0.1864
355	Albania	0.1101
35568	Albania Cellular-AMC	0.3079
35567	Albania Cellular-Eagle	0.2919
35566	Albania Cellular-Plus	0.2981
35569	Albania Cellular-Vodafone	0.2855
35521160	Albania-AMC	0.1639
35521161	Albania-AMC	0.1639
35521250	Albania-AMC	0.1639
35521340	Albania-AMC	0.1639
35521440	Albania-AMC	0.1639
3552155	Albania-AMC	0.1639
35521650	Albania-AMC	0.1639
35521651	Albania-AMC	0.1639
35521740	Albania-AMC	0.1639
35521741	Albania-AMC	0.1639
3552185	Albania-AMC	0.1639
35521940	Albania-AMC	0.1639
3552253	Albania-AMC	0.1639
35522530	Albania-AMC	0.1639
3552254	Albania-AMC	0.1639
35522540	Albania-AMC	0.1639
3552440	Albania-AMC	0.1639
35524401	Albania-AMC	0.1639
35524402	Albania-AMC	0.1639
35524403	Albania-AMC	0.1639
35524404	Albania-AMC	0.1639
35524405	Albania-AMC	0.1639
35524406	Albania-AMC	0.1639
35524407	Albania-AMC	0.1639
35524408	Albania-AMC	0.1639
35524409	Albania-AMC	0.1639
35526160	Albania-AMC	0.1639
35526250	Albania-AMC	0.1639
35526293	Albania-AMC	0.1639
35526323	Albania-AMC	0.1639
35526350	Albania-AMC	0.1639
35526363	Albania-AMC	0.1639
35526373	Albania-AMC	0.1639
35526383	Albania-AMC	0.1639
35526450	Albania-AMC	0.1639
35526490	Albania-AMC	0.1639
35526523	Albania-AMC	0.1639
35526563	Albania-AMC	0.1639
35526650	Albania-AMC	0.1639
35526673	Albania-AMC	0.1639
35526723	Albania-AMC	0.1639
35526770	Albania-AMC	0.1639
35526840	Albania-AMC	0.1639
35526890	Albania-AMC	0.1639
35526950	Albania-AMC	0.1639
35526970	Albania-AMC	0.1639
35526990	Albania-AMC	0.1639
35527023	Albania-AMC	0.1639
35527043	Albania-AMC	0.1639
35527053	Albania-AMC	0.1639
35527070	Albania-AMC	0.1639
35527140	Albania-AMC	0.1639
35527190	Albania-AMC	0.1639
35527223	Albania-AMC	0.1639
35527253	Albania-AMC	0.1639
35527270	Albania-AMC	0.1639
35527323	Albania-AMC	0.1639
35527350	Albania-AMC	0.1639
35527370	Albania-AMC	0.1639
35527390	Albania-AMC	0.1639
35527440	Albania-AMC	0.1639
35527470	Albania-AMC	0.1639
35527490	Albania-AMC	0.1639
35527523	Albania-AMC	0.1639
35527550	Albania-AMC	0.1639
35527570	Albania-AMC	0.1639
35527590	Albania-AMC	0.1639
35527623	Albania-AMC	0.1639
35527660	Albania-AMC	0.1639
35527693	Albania-AMC	0.1639
35527723	Albania-AMC	0.1639
35527760	Albania-AMC	0.1639
35527790	Albania-AMC	0.1639
35527840	Albania-AMC	0.1639
35527860	Albania-AMC	0.1639
35527880	Albania-AMC	0.1639
35527923	Albania-AMC	0.1639
35527950	Albania-AMC	0.1639
35527970	Albania-AMC	0.1639
35527990	Albania-AMC	0.1639
