Prefix,Destination Name,Rate(USD)
91188,India Fixedbsnl,0.0090
91202,India Fixedbsnl,0.0090
91214,India Fixedbsnl,0.0090
91216,India Fixedbsnl,0.0090
912172,India Fixedbsnl,0.0090
9123,India Fixedbsnl,0.0090
912402,India Fixedbsnl,0.0090
912412,India Fixedbsnl,0.0090
9124522,India Fixedbsnl,0.0090
9125,India Fixedbsnl,0.0090
912602,India Fixedbsnl,0.0090
912612,India Fixedbsnl,0.0090
9126222,India Fixedbsnl,0.0090
91263,India Fixedbsnl,0.0090
91264,India Fixedbsnl,0.0090
912652,India Fixedbsnl,0.0090
9126662,India Fixedbsnl,0.0090
9126722,India Fixedbsnl,0.0090
912682,India Fixedbsnl,0.0090
91269,India Fixedbsnl,0.0090
9127172,India Fixedbsnl,0.0090
9127422,India Fixedbsnl,0.0090
9127522,India Fixedbsnl,0.0090
91276,India Fixedbsnl,0.0090
9127722,India Fixedbsnl,0.0090
912782,India Fixedbsnl,0.0090
9128,India Fixedbsnl,0.0090
912912,India Fixedbsnl,0.0090
9129322,India Fixedbsnl,0.0090
912942,India Fixedbsnl,0.0090
9129622,India Fixedbsnl,0.0090
91321,India Fixedbsnl,0.0090
913262,India Fixedbsnl,0.0090
91332,India Fixedbsnl,0.0090
913412,India Fixedbsnl,0.0090
913432,India Fixedbsnl,0.0090
91402,India Fixedbsnl,0.0090
914132,India Fixedbsnl,0.0090
91414,India Fixedbsnl,0.0090
9141512,India Fixedbsnl,0.0090
914162,India Fixedbsnl,0.0090
914222,India Fixedbsnl,0.0090
914312,India Fixedbsnl,0.0090
91432,India Fixedbsnl,0.0090
914352,India Fixedbsnl,0.0090
91436,India Fixedbsnl,0.0090
91437,India Fixedbsnl,0.0090
91442,India Fixedbsnl,0.0090
914522,India Fixedbsnl,0.0090
9145672,India Fixedbsnl,0.0090
914602,India Fixedbsnl,0.0090
914622,India Fixedbsnl,0.0090
91465,India Fixedbsnl,0.0090
914662,India Fixedbsnl,0.0090
914672,India Fixedbsnl,0.0090
914682,India Fixedbsnl,0.0090
914692,India Fixedbsnl,0.0090
9147,India Fixedbsnl,0.0090
914802,India Fixedbsnl,0.0090
914812,India Fixedbsnl,0.0090
91482,India Fixedbsnl,0.0090
914832,India Fixedbsnl,0.0090
914842,India Fixedbsnl,0.0090
914852,India Fixedbsnl,0.0090
9148622,India Fixedbsnl,0.0090
914872,India Fixedbsnl,0.0090
91488,India Fixedbsnl,0.0090
9149,India Fixedbsnl,0.0090
915122,India Fixedbsnl,0.0090
9151422,India Fixedbsnl,0.0090
915222,India Fixedbsnl,0.0090
915322,India Fixedbsnl,0.0090
9154142,India Fixedbsnl,0.0090
915422,India Fixedbsnl,0.0090
915622,India Fixedbsnl,0.0090
915652,India Fixedbsnl,0.0090
915812,India Fixedbsnl,0.0090
9158522,India Fixedbsnl,0.0090
9158622,India Fixedbsnl,0.0090
916122,India Fixedbsnl,0.0090
9161522,India Fixedbsnl,0.0090
9161822,India Fixedbsnl,0.0090
916212,India Fixedbsnl,0.0090
9162722,India Fixedbsnl,0.0090
916312,India Fixedbsnl,0.0090
916512,India Fixedbsnl,0.0090
9165462,India Fixedbsnl,0.0090
916572,India Fixedbsnl,0.0090
916632,India Fixedbsnl,0.0090
9166522,India Fixedbsnl,0.0090
916712,India Fixedbsnl,0.0090
916742,India Fixedbsnl,0.0090
917122,India Fixedbsnl,0.0090
9171522,India Fixedbsnl,0.0090
9171722,India Fixedbsnl,0.0090
9171842,India Fixedbsnl,0.0090
917212,India Fixedbsnl,0.0090
9172322,India Fixedbsnl,0.0090
917242,India Fixedbsnl,0.0090
9172622,India Fixedbsnl,0.0090
9172722,India Fixedbsnl,0.0090
917312,India Fixedbsnl,0.0090
917342,India Fixedbsnl,0.0090
917442,India Fixedbsnl,0.0090
917512,India Fixedbsnl,0.0090
917552,India Fixedbsnl,0.0090
9175922,India Fixedbsnl,0.0090
917612,India Fixedbsnl,0.0090
9176722,India Fixedbsnl,0.0090
9176822,India Fixedbsnl,0.0090
9177322,India Fixedbsnl,0.0090
917882,India Fixedbsnl,0.0090
91792,India Fixedbsnl,0.0090
91802,India Fixedbsnl,0.0090
91811179,India Fixedbsnl,0.0090
91811372,India Fixedbsnl,0.0090
91811373,India Fixedbsnl,0.0090
918202,India Fixedbsnl,0.0090
918212,India Fixedbsnl,0.0090
918242,India Fixedbsnl,0.0090
9182512,India Fixedbsnl,0.0090
9182582,India Fixedbsnl,0.0090
918312,India Fixedbsnl,0.0090
918322,India Fixedbsnl,0.0090
918362,India Fixedbsnl,0.0090
9183822,India Fixedbsnl,0.0090
91846,India Fixedbsnl,0.0090
918612,India Fixedbsnl,0.0090
918632,India Fixedbsnl,0.0090
918662,India Fixedbsnl,0.0090
918772,India Fixedbsnl,0.0090
9188122,India Fixedbsnl,0.0090
9188142,India Fixedbsnl,0.0090
9188182,India Fixedbsnl,0.0090
9188192,India Fixedbsnl,0.0090
918832,India Fixedbsnl,0.0090
918842,India Fixedbsnl,0.0090
9188552,India Fixedbsnl,0.0090
918912,India Fixedbsnl,0.0090
91918,India Fixedbsnl,0.0090
91919,India Fixedbsnl,0.0090
91968,India Fixedbsnl,0.0090
91720,India Mobile,0.0089
91725,India Mobile,0.0089
91727,India Mobile,0.0089
91729,India Mobile,0.0089
91730,India Mobile,0.0089
91735,India Mobile,0.0089
91737,India Mobile,0.0089
91738,India Mobile,0.0089
91739,India Mobile,0.0089
91740,India Mobile,0.0089
91741,India Mobile,0.0089
91750,India Mobile,0.0089
917549,India Mobile,0.0089
91756,India Mobile,0.0089
91760,India Mobile,0.0089
917620,India Mobile,0.0089
91763,India Mobile,0.0089
917654,India Mobile,0.0089
91766,India Mobile,0.0089
91767,India Mobile,0.0089
91769,India Mobile,0.0089
9177,India Mobile,0.0089
9178,India Mobile,0.0089
9180,India Mobile,0.0089
9181,India Mobile,0.0089
9182,India Mobile,0.0089
9183,India Mobile,0.0089
9184,India Mobile,0.0089
9185,India Mobile,0.0089
9186,India Mobile,0.0089
9187,India Mobile,0.0089
9188,India Mobile,0.0089
9189,India Mobile,0.0089
9190,India Mobile,0.0089
9191,India Mobile,0.0089
9195,India Mobile,0.0089
9196,India Mobile,0.0089
9197,India Mobile,0.0089
9198,India Mobile,0.0089
9199,India Mobile,0.0089
917376,India Mobilebsnl,0.0089
917380,India Mobilebsnl,0.0089
917382,India Mobilebsnl,0.0089
917579,India Mobilebsnl,0.0089
91758,India Mobilebsnl,0.0089
91759,India Mobilebsnl,0.0089
917839,India Mobilebsnl,0.0089
91800,India Mobilebsnl,0.0089
91827,India Mobilebsnl,0.0089
918280,India Mobilebsnl,0.0089
918281,India Mobilebsnl,0.0089
918300,India Mobilebsnl,0.0089
9183309,India Mobilebsnl,0.0089
9183310,India Mobilebsnl,0.0089
9183318,India Mobilebsnl,0.0089
9183319,India Mobilebsnl,0.0089
9183320,India Mobilebsnl,0.0089
9183328,India Mobilebsnl,0.0089
9183329,India Mobilebsnl,0.0089
9183330,India Mobilebsnl,0.0089
9183338,India Mobilebsnl,0.0089
9183339,India Mobilebsnl,0.0089
918480,India Mobilebsnl,0.0089
918500,India Mobilebsnl,0.0089
91854,India Mobilebsnl,0.0089
918580,India Mobilebsnl,0.0089
91876,India Mobilebsnl,0.0089
918887,India Mobilebsnl,0.0089
918895,India Mobilebsnl,0.0089
91890,India Mobilebsnl,0.0089
91898,India Mobilebsnl,0.0089
919186,India Mobilebsnl,0.0089
9194,India Mobilebsnl,0.0089
91953,India Mobilebsnl,0.0089
92,Pakistan Fixed,0.0340
9258,Pakistan Fixed Kashmir,0.0340
9235,Pakistan Mobile Kashmir,0.0340
9230,Pakistan Mobile Mobilink,0.0475
9234,Pakistan Mobile Telenor,0.0360
9233,Pakistan Mobile Ufone,0.0360
9232,Pakistan Mobile Warid,0.0370
9231,Pakistan Mobile Zong,0.0380
