93,Afghanistan,+AC0-1
9375,Afghanistan Cellular+AC0-AT,+AC0-1
9370,Afghanistan Cellular+AC0-AWCC,+AC0-1
9376,Afghanistan Cellular+AC0-Areeba,+AC0-1
9377,Afghanistan Cellular+AC0-Areeba,+AC0-1
9378,Afghanistan Cellular+AC0-Etisalat,+AC0-1
937,Afghanistan Cellular+AC0-Others,+AC0-1
9372,Afghanistan Cellular+AC0-Roshan,+AC0-1
35528763,+ACI-Albania,AMC+ACI-,+AC0-1
35528790,+ACI-Albania,AMC+ACI-,+AC0-1
35528823,+ACI-Albania,AMC+ACI-,+AC0-1
35528850,+ACI-Albania,AMC+ACI-,+AC0-1
35528870,+ACI-Albania,AMC+ACI-,+AC0-1
35528890,+ACI-Albania,AMC+ACI-,+AC0-1
35528950,+ACI-Albania,AMC+ACI-,+AC0-1
35528970,+ACI-Albania,AMC+ACI-,+AC0-1
35528990,+ACI-Albania,AMC+ACI-,+AC0-1
35529140,+ACI-Albania,AMC+ACI-,+AC0-1
35529190,+ACI-Albania,AMC+ACI-,+AC0-1
35529240,+ACI-Albania,AMC+ACI-,+AC0-1
35529280,+ACI-Albania,AMC+ACI-,+AC0-1
35529340,+ACI-Albania,AMC+ACI-,+AC0-1
35529370,+ACI-Albania,AMC+ACI-,+AC0-1
35529390,+ACI-Albania,AMC+ACI-,+AC0-1
35529423,+ACI-Albania,AMC+ACI-,+AC0-1
35529460,+ACI-Albania,AMC+ACI-,+AC0-1
35529490,+ACI-Albania,AMC+ACI-,+AC0-1
35529523,+ACI-Albania,AMC+ACI-,+AC0-1
35529550,+ACI-Albania,AMC+ACI-,+AC0-1
35529570,+ACI-Albania,AMC+ACI-,+AC0-1
35529590,+ACI-Albania,AMC+ACI-,+AC0-1
35529623,+ACI-Albania,AMC+ACI-,+AC0-1
35529650,+ACI-Albania,AMC+ACI-,+AC0-1
35529680,+ACI-Albania,AMC+ACI-,+AC0-1
35529723,+ACI-Albania,AMC+ACI-,+AC0-1
35529750,+ACI-Albania,AMC+ACI-,+AC0-1
35529763,+ACI-Albania,AMC+ACI-,+AC0-1
35529780,+ACI-Albania,AMC+ACI-,+AC0-1
35531150,+ACI-Albania,AMC+ACI-,+AC0-1
35531151,+ACI-Albania,AMC+ACI-,+AC0-1
35531250,+ACI-Albania,AMC+ACI-,+AC0-1
35531350,+ACI-Albania,AMC+ACI-,+AC0-1
35531351,+ACI-Albania,AMC+ACI-,+AC0-1
3553270,+ACI-Albania,AMC+ACI-,+AC0-1
3553350,+ACI-Albania,AMC+ACI-,+AC0-1
3553351,+ACI-Albania,AMC+ACI-,+AC0-1
3553490,+ACI-Albania,AMC+ACI-,+AC0-1
3553491,+ACI-Albania,AMC+ACI-,+AC0-1
3553560,+ACI-Albania,AMC+ACI-,+AC0-1
35536023,+ACI-Albania,AMC+ACI-,+AC0-1
35536043,+ACI-Albania,AMC+ACI-,+AC0-1
35536063,+ACI-Albania,AMC+ACI-,+AC0-1
35536073,+ACI-Albania,AMC+ACI-,+AC0-1
35536090,+ACI-Albania,AMC+ACI-,+AC0-1
35536150,+ACI-Albania,AMC+ACI-,+AC0-1
35536240,+ACI-Albania,AMC+ACI-,+AC0-1
35536290,+ACI-Albania,AMC+ACI-,+AC0-1
35536340,+ACI-Albania,AMC+ACI-,+AC0-1
35536380,+ACI-Albania,AMC+ACI-,+AC0-1
35536440,+ACI-Albania,AMC+ACI-,+AC0-1
35536480,+ACI-Albania,AMC+ACI-,+AC0-1
35536540,+ACI-Albania,AMC+ACI-,+AC0-1
35536580,+ACI-Albania,AMC+ACI-,+AC0-1
35536640,+ACI-Albania,AMC+ACI-,+AC0-1
35536670,+ACI-Albania,AMC+ACI-,+AC0-1
35536740,+ACI-Albania,AMC+ACI-,+AC0-1
35536770,+ACI-Albania,AMC+ACI-,+AC0-1
35536840,+ACI-Albania,AMC+ACI-,+AC0-1
35536890,+ACI-Albania,AMC+ACI-,+AC0-1
35536923,+ACI-Albania,AMC+ACI-,+AC0-1
35536993,+ACI-Albania,AMC+ACI-,+AC0-1
35537140,+ACI-Albania,AMC+ACI-,+AC0-1
35537141,+ACI-Albania,AMC+ACI-,+AC0-1
35537223,+ACI-Albania,AMC+ACI-,+AC0-1
35537263,+ACI-Albania,AMC+ACI-,+AC0-1
35537283,+ACI-Albania,AMC+ACI-,+AC0-1
35537293,+ACI-Albania,AMC+ACI-,+AC0-1
35537340,+ACI-Albania,AMC+ACI-,+AC0-1
35537370,+ACI-Albania,AMC+ACI-,+AC0-1
35537393,+ACI-Albania,AMC+ACI-,+AC0-1
35537450,+ACI-Albania,AMC+ACI-,+AC0-1
35537490,+ACI-Albania,AMC+ACI-,+AC0-1
35537494,+ACI-Albania,AMC+ACI-,+AC0-1
35537523,+ACI-Albania,AMC+ACI-,+AC0-1
35537563,+ACI-Albania,AMC+ACI-,+AC0-1
35537590,+ACI-Albania,AMC+ACI-,+AC0-1
35537623,+ACI-Albania,AMC+ACI-,+AC0-1
35537680,+ACI-Albania,AMC+ACI-,+AC0-1
35537740,+ACI-Albania,AMC+ACI-,+AC0-1
35537773,+ACI-Albania,AMC+ACI-,+AC0-1
35537790,+ACI-Albania,AMC+ACI-,+AC0-1
35537823,+ACI-Albania,AMC+ACI-,+AC0-1
35537843,+ACI-Albania,AMC+ACI-,+AC0-1
35537853,+ACI-Albania,AMC+ACI-,+AC0-1
35537870,+ACI-Albania,AMC+ACI-,+AC0-1
35537890,+ACI-Albania,AMC+ACI-,+AC0-1
35538150,+ACI-Albania,AMC+ACI-,+AC0-1
35538151,+ACI-Albania,AMC+ACI-,+AC0-1
35538152,+ACI-Albania,AMC+ACI-,+AC0-1
35538240,+ACI-Albania,AMC+ACI-,+AC0-1
35538241,+ACI-Albania,AMC+ACI-,+AC0-1
35538350,+ACI-Albania,AMC+ACI-,+AC0-1
35538423,+ACI-Albania,AMC+ACI-,+AC0-1
35538470,+ACI-Albania,AMC+ACI-,+AC0-1
35538523,+ACI-Albania,AMC+ACI-,+AC0-1
35538593,+ACI-Albania,AMC+ACI-,+AC0-1
35538623,+ACI-Albania,AMC+ACI-,+AC0-1
35538650,+ACI-Albania,AMC+ACI-,+AC0-1
35538680,+ACI-Albania,AMC+ACI-,+AC0-1
35538693,+ACI-Albania,AMC+ACI-,+AC0-1
35538725,+ACI-Albania,AMC+ACI-,+AC0-1
35538790,+ACI-Albania,AMC+ACI-,+AC0-1
35538850,+ACI-Albania,AMC+ACI-,+AC0-1
35538923,+ACI-Albania,AMC+ACI-,+AC0-1
35538940,+ACI-Albania,AMC+ACI-,+AC0-1
35538980,+ACI-Albania,AMC+ACI-,+AC0-1
35539150,+ACI-Albania,AMC+ACI-,+AC0-1
35539151,+ACI-Albania,AMC+ACI-,+AC0-1
35539240,+ACI-Albania,AMC+ACI-,+AC0-1
35539241,+ACI-Albania,AMC+ACI-,+AC0-1
35539360,+ACI-Albania,AMC+ACI-,+AC0-1
35539361,+ACI-Albania,AMC+ACI-,+AC0-1
35539450,+ACI-Albania,AMC+ACI-,+AC0-1
35539560,+ACI-Albania,AMC+ACI-,+AC0-1
35539640,+ACI-Albania,AMC+ACI-,+AC0-1
35539690,+ACI-Albania,AMC+ACI-,+AC0-1
35539740,+ACI-Albania,AMC+ACI-,+AC0-1
35539790,+ACI-Albania,AMC+ACI-,+AC0-1
35539823,+ACI-Albania,AMC+ACI-,+AC0-1
35539850,+ACI-Albania,AMC+ACI-,+AC0-1
35539880,+ACI-Albania,AMC+ACI-,+AC0-1
3554630,+ACI-Albania,AMC+ACI-,+AC0-1
3554631,+ACI-Albania,AMC+ACI-,+AC0-1
3554632,+ACI-Albania,AMC+ACI-,+AC0-1
3554633,+ACI-Albania,AMC+ACI-,+AC0-1
35547210,+ACI-Albania,AMC+ACI-,+AC0-1
35547425,+ACI-Albania,AMC+ACI-,+AC0-1
35547550,+ACI-Albania,AMC+ACI-,+AC0-1
35547700,+ACI-Albania,AMC+ACI-,+AC0-1
35547870,+ACI-Albania,AMC+ACI-,+AC0-1
35547950,+ACI-Albania,AMC+ACI-,+AC0-1
35548270,+ACI-Albania,AMC+ACI-,+AC0-1
35548271,+ACI-Albania,AMC+ACI-,+AC0-1
35548272,+ACI-Albania,AMC+ACI-,+AC0-1
35548570,+ACI-Albania,AMC+ACI-,+AC0-1
35548660,+ACI-Albania,AMC+ACI-,+AC0-1
35548750,+ACI-Albania,AMC+ACI-,+AC0-1
35548855,+ACI-Albania,AMC+ACI-,+AC0-1
35548935,+ACI-Albania,AMC+ACI-,+AC0-1
35548936,+ACI-Albania,AMC+ACI-,+AC0-1
35549250,+ACI-Albania,AMC+ACI-,+AC0-1
35549440,+ACI-Albania,AMC+ACI-,+AC0-1
35549560,+ACI-Albania,AMC+ACI-,+AC0-1
35549730,+ACI-Albania,AMC+ACI-,+AC0-1
35549830,+ACI-Albania,AMC+ACI-,+AC0-1
35549930,+ACI-Albania,AMC+ACI-,+AC0-1
3555114,+ACI-Albania,AMC+ACI-,+AC0-1
35551240,+ACI-Albania,AMC+ACI-,+AC0-1
35551241,+ACI-Albania,AMC+ACI-,+AC0-1
35551360,+ACI-Albania,AMC+ACI-,+AC0-1
35551361,+ACI-Albania,AMC+ACI-,+AC0-1
35551460,+ACI-Albania,AMC+ACI-,+AC0-1
35551461,+ACI-Albania,AMC+ACI-,+AC0-1
3555263,+ACI-Albania,AMC+ACI-,+AC0-1
3555264,+ACI-Albania,AMC+ACI-,+AC0-1
