93,Afghanistan,13.0514,0," Other"
9375,Afghanistan,13.9336,0," Cellular AT"
9370,Afghanistan,13.3681,0," Cellular AWCC"
9377,Afghanistan,14.6951,0," Cellular Areeba"
9378,Afghanistan,12.7272,0," Cellular Etisalat"
937,Afghanistan,14.4538,0," Cellular Others"
9372,Afghanistan,14.0542,0," Cellular Roshan"
9379,Afghanistan,14.0542,0," Cellular Roshan"
355,Albania,8.3013,0," Other"
35568,Albania,24.3762,0," Cellular AMC"
35567,Albania,23.1095,0," Cellular Eagle"
35566,Albania,22.4761,0," Cellular Plus"
35569,Albania,21.5261,0," Cellular Vodafone"
35521160,Albania,13.1645,0," AMC"
35521161,Albania,13.1645,0," AMC"
35521250,Albania,13.1645,0," AMC"
35521340,Albania,13.1645,0," AMC"
35521440,Albania,13.1645,0," AMC"
3552155,Albania,13.1645,0," AMC"
35521650,Albania,13.1645,0," AMC"
